plane,old_ip,new_ip
mgmt,192.168.0.164,10.51.12.107
mgmt,192.168.0.165,10.51.12.28
mgmt,192.168.0.166,10.51.12.33
mgmt,192.168.0.167,10.51.12.38
mgmt,192.168.0.168,10.51.12.43
mgmt,192.168.0.169,10.51.12.48
mgmt,192.168.0.17,10.51.11.22
mgmt,192.168.0.170,10.51.12.53
mgmt,192.168.0.171,10.51.12.58
mgmt,192.168.0.172,10.51.12.63
mgmt,192.168.0.173,10.51.12.68
mgmt,192.168.0.174,10.51.12.73
mgmt,192.168.0.175,10.51.12.78
mgmt,192.168.0.176,10.51.12.83
mgmt,192.168.0.177,10.51.12.88
mgmt,192.168.0.178,10.51.12.93
mgmt,192.168.0.179,10.51.12.98
mgmt,192.168.0.18,10.51.11.24
mgmt,192.168.0.180,10.51.12.103
mgmt,192.168.0.181,10.51.12.108
mgmt,192.168.0.182,10.51.12.29
mgmt,192.168.0.183,10.51.12.34
mgmt,192.168.0.184,10.51.12.39
mgmt,192.168.0.185,10.51.12.44
mgmt,192.168.0.186,10.51.12.49
mgmt,192.168.0.187,10.51.12.54
mgmt,192.168.0.188,10.51.12.59
mgmt,192.168.0.189,10.51.12.64
mgmt,192.168.0.19,10.51.11.10
mgmt,192.168.0.190,10.51.12.69
mgmt,192.168.0.191,10.51.12.74
mgmt,192.168.0.192,10.51.12.79
mgmt,192.168.0.193,10.51.12.84
mgmt,192.168.0.194,10.51.12.89
mgmt,192.168.0.195,10.51.12.94
mgmt,192.168.0.196,10.51.12.99
mgmt,192.168.0.197,10.51.12.104
mgmt,192.168.0.198,10.51.12.109
mgmt,192.168.0.199,10.51.11.110
mgmt,192.168.0.2,10.51.11.15
mgmt,192.168.0.20,10.51.11.11
mgmt,192.168.0.200,10.51.11.111
mgmt,192.168.0.201,10.51.11.112
mgmt,192.168.0.202,10.51.11.113
mgmt,192.168.0.203,10.51.11.114
mgmt,192.168.0.204,10.51.12.110
mgmt,192.168.0.205,10.51.12.111
mgmt,192.168.0.206,10.51.12.112
mgmt,192.168.0.207,10.51.12.113
mgmt,192.168.0.208,10.51.12.114
mgmt,192.168.0.209,10.52.11.43
mgmt,192.168.0.21,10.51.11.12
mgmt,192.168.0.210,10.52.13.10
mgmt,192.168.0.211,10.52.13.11
mgmt,192.168.0.212,10.52.14.41
mgmt,192.168.0.213,10.52.11.46
mgmt,192.168.0.214,10.52.14.42
mgmt,192.168.0.215,10.51.13.21
mgmt,192.168.0.216,10.51.12.15
mgmt,192.168.0.217,10.52.13.12
mgmt,192.168.0.218,10.52.11.44
mgmt,192.168.0.219,10.52.13.16
mgmt,192.168.0.22,10.51.11.13
mgmt,192.168.0.220,10.52.13.13
mgmt,192.168.0.221,10.52.13.17
mgmt,192.168.0.222,10.52.13.14
mgmt,192.168.0.223,10.52.11.45
mgmt,192.168.0.224,10.52.13.18
mgmt,192.168.0.225,10.52.13.15
mgmt,192.168.0.226,10.52.13.19
mgmt,192.168.0.227,10.52.11.27
mgmt,192.168.0.228,10.52.12.40
mgmt,192.168.0.229,10.52.11.20
mgmt,192.168.0.23,10.51.11.14
mgmt,192.168.0.230,10.52.12.20
mgmt,192.168.0.231,10.52.11.21
mgmt,192.168.0.232,10.52.12.21
mgmt,192.168.0.233,10.52.14.37
mgmt,192.168.0.234,10.52.14.45
mgmt,192.168.0.235,10.52.14.46
mgmt,192.168.0.236,10.52.11.35
mgmt,192.168.0.237,10.52.11.28
mgmt,192.168.0.238,10.52.11.36
mgmt,192.168.0.239,10.51.12.16
mgmt,192.168.0.24,10.51.12.10
mgmt,192.168.0.240,10.51.12.17
mgmt,192.168.0.241,10.51.12.18
mgmt,192.168.0.242,10.51.12.19
mgmt,192.168.0.243,10.52.11.29
mgmt,192.168.0.244,10.52.11.37
mgmt,192.168.0.245,10.51.12.21
mgmt,192.168.0.246,10.51.12.23
mgmt,192.168.0.247,10.51.12.22
mgmt,192.168.0.248,10.51.12.24
mgmt,192.168.0.249,10.52.12.24
mgmt,192.168.0.25,10.51.12.11
mgmt,192.168.0.250,10.52.12.32
mgmt,192.168.0.251,10.52.12.25
mgmt,192.168.0.252,10.52.12.33
mgmt,192.168.0.253,10.52.12.26
mgmt,192.168.0.254,10.52.12.34
mgmt,192.168.0.26,10.51.12.12
mgmt,192.168.0.27,10.51.12.13
mgmt,192.168.0.28,10.51.12.14
mgmt,192.168.0.29,10.51.11.25
mgmt,192.168.0.3,10.51.11.16
mgmt,192.168.0.30,10.51.11.30
mgmt,192.168.0.31,10.51.11.35
mgmt,192.168.0.32,10.51.11.40
mgmt,192.168.0.33,10.51.11.45
mgmt,192.168.0.34,10.51.11.50
mgmt,192.168.0.35,10.51.11.55
mgmt,192.168.0.36,10.51.11.60
mgmt,192.168.0.37,10.51.11.65
mgmt,192.168.0.38,10.51.11.70
mgmt,192.168.0.39,10.51.11.75
mgmt,192.168.0.4,10.51.11.17
mgmt,192.168.0.40,10.51.11.80
mgmt,192.168.0.41,10.51.11.85
mgmt,192.168.0.42,10.51.11.90
mgmt,192.168.0.43,10.51.11.95
mgmt,192.168.0.44,10.51.11.100
mgmt,192.168.0.45,10.51.11.105
mgmt,192.168.0.46,10.51.11.26
mgmt,192.168.0.47,10.51.11.31
mgmt,192.168.0.48,10.51.11.36
mgmt,192.168.0.49,10.51.11.41
mgmt,192.168.0.5,10.51.11.18
mgmt,192.168.0.50,10.51.11.46
mgmt,192.168.0.51,10.51.11.51
mgmt,192.168.0.52,10.51.11.56
mgmt,192.168.0.53,10.51.11.61
mgmt,192.168.0.54,10.51.11.66
mgmt,192.168.0.55,10.51.11.71
mgmt,192.168.0.56,10.51.11.76
mgmt,192.168.0.57,10.51.11.81
mgmt,192.168.0.58,10.51.11.86
mgmt,192.168.0.59,10.51.11.91
mgmt,192.168.0.6,10.51.11.19
mgmt,192.168.0.60,10.51.11.96
mgmt,192.168.0.61,10.51.11.101
mgmt,192.168.0.62,10.51.11.106
mgmt,192.168.0.63,10.51.11.27
mgmt,192.168.0.64,10.51.11.32
mgmt,192.168.0.65,10.51.11.37
mgmt,192.168.0.66,10.51.11.42
mgmt,192.168.0.67,10.51.11.47
mgmt,192.168.0.68,10.51.11.52
mgmt,192.168.0.69,10.51.11.57
mgmt,192.168.0.7,10.51.13.27
mgmt,192.168.0.70,10.51.11.62
mgmt,192.168.0.71,10.51.11.67
mgmt,192.168.0.72,10.51.11.72
mgmt,192.168.0.73,10.51.11.77
mgmt,192.168.0.74,10.51.11.82
mgmt,192.168.0.75,10.51.11.87
mgmt,192.168.0.76,10.51.11.92
mgmt,192.168.0.77,10.51.11.97
mgmt,192.168.0.78,10.51.11.102
mgmt,192.168.0.79,10.51.11.107
mgmt,192.168.0.8,10.51.13.28
mgmt,192.168.0.80,10.51.11.28
mgmt,192.168.0.81,10.51.11.33
mgmt,192.168.0.82,10.51.11.38
mgmt,192.168.0.83,10.51.11.43
mgmt,192.168.0.84,10.51.11.48
mgmt,192.168.0.85,10.51.11.53
mgmt,192.168.0.86,10.51.11.58
mgmt,192.168.0.87,10.51.11.63
mgmt,192.168.0.88,10.51.11.68
mgmt,192.168.0.89,10.51.11.73
mgmt,192.168.0.9,10.51.13.12
mgmt,192.168.0.90,10.51.11.78
mgmt,192.168.0.91,10.51.11.83
mgmt,192.168.0.92,10.51.11.88
mgmt,192.168.0.93,10.51.11.93
mgmt,192.168.0.94,10.51.11.98
mgmt,192.168.0.95,10.51.11.103
mgmt,192.168.0.96,10.51.11.108
mgmt,192.168.0.97,10.51.11.29
mgmt,192.168.0.98,10.51.11.34
mgmt,192.168.0.99,10.51.11.39
mgmt,192.168.1.1,10.51.11.20
mgmt,192.168.1.10,10.52.11.40
mgmt,192.168.1.11,10.52.11.33
mgmt,192.168.1.12,10.52.11.41
mgmt,192.168.1.13,10.52.11.34
mgmt,192.168.1.14,10.52.11.42
mgmt,192.168.1.15,10.52.12.27
mgmt,192.168.1.16,10.52.12.35
mgmt,192.168.1.17,10.52.12.28
mgmt,192.168.1.18,10.52.12.36
mgmt,192.168.1.19,10.52.12.29
mgmt,192.168.1.2,10.52.11.30
mgmt,192.168.1.20,10.52.12.37
mgmt,192.168.1.21,10.52.12.30
mgmt,192.168.1.22,10.52.12.38
mgmt,192.168.1.23,10.52.12.31
mgmt,192.168.1.24,10.52.12.39
mgmt,192.168.1.25,10.51.12.20
mgmt,192.168.1.26,10.52.14.47
mgmt,192.168.1.27,10.52.14.43
mgmt,192.168.1.28,10.52.14.44
mgmt,192.168.1.29,10.52.14.10
mgmt,192.168.1.3,10.52.11.38
mgmt,192.168.1.30,10.52.14.11
mgmt,192.168.1.31,10.52.14.39
mgmt,192.168.1.32,10.52.14.40
mgmt,192.168.1.33,10.52.14.33
mgmt,192.168.1.34,10.52.14.35
mgmt,192.168.1.35,10.52.11.25
mgmt,192.168.1.36,10.52.11.26
mgmt,192.168.1.37,10.52.12.22
mgmt,192.168.1.38,10.52.12.23
mgmt,192.168.1.39,10.51.13.23
mgmt,192.168.1.4,10.52.12.42
mgmt,192.168.1.40,10.51.13.14
mgmt,192.168.1.41,10.51.13.15
mgmt,192.168.1.42,10.51.13.25
mgmt,192.168.1.43,10.51.13.26
mgmt,192.168.1.44,10.51.13.16
mgmt,192.168.1.45,10.51.13.17
mgmt,192.168.1.46,10.51.13.18
mgmt,192.168.1.47,10.51.13.24
mgmt,192.168.1.5,10.52.11.31
mgmt,192.168.1.6,10.52.11.39
mgmt,192.168.1.7,10.52.12.41
mgmt,192.168.1.8,10.52.14.38
mgmt,192.168.1.9,10.52.11.32
mgmt,192.168.4.1,10.51.23.22
mgmt,192.168.4.10,10.51.23.19
mgmt,192.168.4.100,10.51.22.24
mgmt,192.168.4.101,10.51.22.28
mgmt,192.168.4.102,10.51.22.32
mgmt,192.168.4.103,10.51.22.36
mgmt,192.168.4.104,10.51.22.40
mgmt,192.168.4.105,10.51.22.44
mgmt,192.168.4.106,10.51.22.48
mgmt,192.168.4.107,10.51.22.52
mgmt,192.168.4.108,10.51.22.56
mgmt,192.168.4.109,10.51.22.60
mgmt,192.168.4.11,10.51.23.20
mgmt,192.168.4.110,10.51.22.64
mgmt,192.168.4.111,10.51.22.68
mgmt,192.168.4.112,10.51.22.72
mgmt,192.168.4.113,10.51.22.76
mgmt,192.168.4.114,10.51.22.80
mgmt,192.168.4.115,10.51.22.25
mgmt,192.168.4.116,10.51.22.29
mgmt,192.168.4.117,10.51.22.33
mgmt,192.168.4.118,10.51.22.37
mgmt,192.168.4.119,10.51.22.41
mgmt,192.168.4.12,10.51.23.10
mgmt,192.168.4.120,10.51.22.45
mgmt,192.168.4.121,10.51.22.49
mgmt,192.168.4.122,10.51.22.53
mgmt,192.168.4.123,10.51.22.57
mgmt,192.168.4.124,10.51.22.61
mgmt,192.168.4.125,10.51.22.65
mgmt,192.168.4.126,10.51.22.69
mgmt,192.168.4.127,10.51.22.73
mgmt,192.168.4.128,10.51.22.77
mgmt,192.168.4.129,10.51.22.81
mgmt,192.168.4.13,10.51.23.11
mgmt,192.168.4.130,10.51.22.26
mgmt,192.168.4.131,10.51.22.30
mgmt,192.168.4.132,10.51.22.34
mgmt,192.168.4.133,10.51.22.38
mgmt,192.168.4.134,10.51.22.42
mgmt,192.168.4.135,10.51.22.46
mgmt,192.168.4.136,10.51.22.50
mgmt,192.168.4.137,10.51.22.54
mgmt,192.168.4.138,10.51.22.58
mgmt,192.168.4.139,10.51.22.62
mgmt,192.168.4.14,10.51.21.19
mgmt,192.168.4.140,10.51.22.66
mgmt,192.168.4.141,10.51.22.70
mgmt,192.168.4.142,10.51.22.74
mgmt,192.168.4.143,10.51.22.78
mgmt,192.168.4.144,10.51.22.82
mgmt,192.168.4.145,10.51.21.83
mgmt,192.168.4.146,10.51.21.84
mgmt,192.168.4.147,10.51.21.85
mgmt,192.168.4.148,10.51.21.86
mgmt,192.168.4.149,10.51.22.83
mgmt,192.168.4.15,10.51.21.21
mgmt,192.168.4.150,10.51.22.84
mgmt,192.168.4.151,10.51.22.85
mgmt,192.168.4.152,10.51.22.86
mgmt,192.168.4.153,10.52.21.41
mgmt,192.168.4.154,10.52.23.10
mgmt,192.168.4.155,10.52.23.11
mgmt,192.168.4.156,10.52.24.41
mgmt,192.168.4.157,10.52.21.43
mgmt,192.168.4.158,10.52.24.42
mgmt,192.168.4.159,10.51.23.21
mgmt,192.168.4.16,10.51.21.20
mgmt,192.168.4.160,10.51.22.14
mgmt,192.168.4.161,10.52.23.12
mgmt,192.168.4.162,10.52.21.42
mgmt,192.168.4.163,10.52.23.16
mgmt,192.168.4.164,10.52.23.13
mgmt,192.168.4.165,10.52.23.17
mgmt,192.168.4.166,10.52.23.14
mgmt,192.168.4.167,10.52.22.38
mgmt,192.168.4.168,10.52.23.18
mgmt,192.168.4.169,10.52.23.15
mgmt,192.168.4.17,10.51.21.10
mgmt,192.168.4.170,10.52.23.19
mgmt,192.168.4.171,10.52.21.20
mgmt,192.168.4.172,10.52.22.20
mgmt,192.168.4.173,10.52.21.21
mgmt,192.168.4.174,10.52.22.21
mgmt,192.168.4.175,10.52.24.37
mgmt,192.168.4.176,10.52.24.45
mgmt,192.168.4.177,10.52.24.46
mgmt,192.168.4.178,10.52.21.27
mgmt,192.168.4.179,10.52.21.34
mgmt,192.168.4.18,10.51.21.11
mgmt,192.168.4.180,10.52.21.28
mgmt,192.168.4.181,10.52.21.35
mgmt,192.168.4.182,10.51.22.15
mgmt,192.168.4.183,10.51.22.16
mgmt,192.168.4.184,10.51.22.17
mgmt,192.168.4.185,10.51.22.19
mgmt,192.168.4.186,10.51.22.21
mgmt,192.168.4.187,10.51.22.20
mgmt,192.168.4.188,10.52.22.24
mgmt,192.168.4.189,10.52.22.31
mgmt,192.168.4.19,10.51.21.12
mgmt,192.168.4.190,10.52.22.25
mgmt,192.168.4.191,10.52.22.32
mgmt,192.168.4.192,10.51.21.18
mgmt,192.168.4.193,10.51.22.18
mgmt,192.168.4.194,10.52.21.30
mgmt,192.168.4.195,10.52.21.37
mgmt,192.168.4.196,10.52.14.32
mgmt,192.168.4.197,10.52.14.31
mgmt,192.168.4.198,10.52.24.32
mgmt,192.168.4.199,10.52.24.31
mgmt,192.168.4.2,10.51.21.14
mgmt,192.168.4.20,10.51.21.13
mgmt,192.168.4.200,10.52.14.30
mgmt,192.168.4.201,10.52.24.30
mgmt,192.168.4.202,10.51.14.12
mgmt,192.168.4.203,10.52.14.12
mgmt,192.168.4.204,10.52.14.13
mgmt,192.168.4.205,10.52.14.15
mgmt,192.168.4.206,10.52.14.16
mgmt,192.168.4.207,10.52.14.17
mgmt,192.168.4.208,10.52.14.25
mgmt,192.168.4.209,10.52.14.26
mgmt,192.168.4.21,10.51.22.10
mgmt,192.168.4.210,10.52.14.21
mgmt,192.168.4.211,10.52.14.22
mgmt,192.168.4.212,10.52.14.48
mgmt,192.168.4.213,10.52.14.49
mgmt,192.168.4.214,10.52.14.20
mgmt,192.168.4.215,10.52.14.19
mgmt,192.168.4.216,10.52.14.36
mgmt,192.168.4.217,10.51.24.12
mgmt,192.168.4.218,10.52.24.12
mgmt,192.168.4.219,10.52.24.13
mgmt,192.168.4.22,10.51.22.11
mgmt,192.168.4.220,10.52.24.15
mgmt,192.168.4.221,10.52.24.16
mgmt,192.168.4.222,10.52.24.17
mgmt,192.168.4.223,10.52.24.25
mgmt,192.168.4.224,10.52.24.26
mgmt,192.168.4.225,10.52.24.21
mgmt,192.168.4.226,10.52.24.22
mgmt,192.168.4.227,10.52.24.48
mgmt,192.168.4.228,10.52.24.49
mgmt,192.168.4.229,10.52.24.20
mgmt,192.168.4.23,10.51.22.12
mgmt,192.168.4.230,10.52.24.19
mgmt,192.168.4.231,10.52.24.36
mgmt,192.168.4.232,10.52.11.13
mgmt,192.168.4.233,10.52.11.14
mgmt,192.168.4.234,10.52.11.15
mgmt,192.168.4.235,10.52.11.16
mgmt,192.168.4.236,10.52.21.13
mgmt,192.168.4.237,10.52.21.14
mgmt,192.168.4.238,10.52.21.15
mgmt,192.168.4.239,10.52.21.16
mgmt,192.168.4.24,10.51.22.13
mgmt,192.168.4.240,10.52.14.14
mgmt,192.168.4.241,10.52.14.18
mgmt,192.168.4.242,10.52.24.14
mgmt,192.168.4.243,10.52.24.18
mgmt,192.168.4.244,10.52.11.10
mgmt,192.168.4.245,10.52.11.11
mgmt,192.168.4.246,10.52.11.12
mgmt,192.168.4.247,10.52.21.10
mgmt,192.168.4.248,10.52.21.11
mgmt,192.168.4.249,10.52.21.12
mgmt,192.168.4.25,10.51.21.23
mgmt,192.168.4.250,10.52.22.40
mgmt,192.168.4.251,10.52.21.31
mgmt,192.168.4.252,10.52.22.39
mgmt,192.168.4.253,10.52.11.22
mgmt,192.168.4.254,10.52.11.23
mgmt,192.168.4.255,10.52.11.24
mgmt,192.168.4.26,10.51.21.27
mgmt,192.168.4.27,10.51.21.31
mgmt,192.168.4.28,10.51.21.35
mgmt,192.168.4.29,10.51.21.39
mgmt,192.168.4.3,10.51.21.15
mgmt,192.168.4.30,10.51.21.43
mgmt,192.168.4.31,10.51.21.47
mgmt,192.168.4.32,10.51.21.51
mgmt,192.168.4.33,10.51.21.55
mgmt,192.168.4.34,10.51.21.59
mgmt,192.168.4.35,10.51.21.63
mgmt,192.168.4.36,10.51.21.67
mgmt,192.168.4.37,10.51.21.71
mgmt,192.168.4.38,10.51.21.75
mgmt,192.168.4.39,10.51.21.79
mgmt,192.168.4.4,10.51.21.16
mgmt,192.168.4.40,10.51.21.24
mgmt,192.168.4.41,10.51.21.28
mgmt,192.168.4.42,10.51.21.32
mgmt,192.168.4.43,10.51.21.36
mgmt,192.168.4.44,10.51.21.40
mgmt,192.168.4.45,10.51.21.44
mgmt,192.168.4.46,10.51.21.48
mgmt,192.168.4.47,10.51.21.52
mgmt,192.168.4.48,10.51.21.56
mgmt,192.168.4.49,10.51.21.60
mgmt,192.168.4.5,10.51.21.17
mgmt,192.168.4.50,10.51.21.64
mgmt,192.168.4.51,10.51.21.68
mgmt,192.168.4.52,10.51.21.72
mgmt,192.168.4.53,10.51.21.76
mgmt,192.168.4.54,10.51.21.80
mgmt,192.168.4.55,10.51.21.25
mgmt,192.168.4.56,10.51.21.29
mgmt,192.168.4.57,10.51.21.33
mgmt,192.168.4.58,10.51.21.37
mgmt,192.168.4.59,10.51.21.41
mgmt,192.168.4.6,10.51.23.27
mgmt,192.168.4.60,10.51.21.45
mgmt,192.168.4.61,10.51.21.49
mgmt,192.168.4.62,10.51.21.53
mgmt,192.168.4.63,10.51.21.57
mgmt,192.168.4.64,10.51.21.61
mgmt,192.168.4.65,10.51.21.65
mgmt,192.168.4.66,10.51.21.69
mgmt,192.168.4.67,10.51.21.73
mgmt,192.168.4.68,10.51.21.77
mgmt,192.168.4.69,10.51.21.81
mgmt,192.168.4.7,10.51.23.28
mgmt,192.168.4.70,10.51.21.26
mgmt,192.168.4.71,10.51.21.30
mgmt,192.168.4.72,10.51.21.34
mgmt,192.168.4.73,10.51.21.38
mgmt,192.168.4.74,10.51.21.42
mgmt,192.168.4.75,10.51.21.46
mgmt,192.168.4.76,10.51.21.50
mgmt,192.168.4.77,10.51.21.54
mgmt,192.168.4.78,10.51.21.58
mgmt,192.168.4.79,10.51.21.62
mgmt,192.168.4.8,10.51.23.12
mgmt,192.168.4.80,10.51.21.66
mgmt,192.168.4.81,10.51.21.70
mgmt,192.168.4.82,10.51.21.74
mgmt,192.168.4.83,10.51.21.78
mgmt,192.168.4.84,10.51.21.82
mgmt,192.168.4.85,10.51.22.23
mgmt,192.168.4.86,10.51.22.27
mgmt,192.168.4.87,10.51.22.31
mgmt,192.168.4.88,10.51.22.35
mgmt,192.168.4.89,10.51.22.39
mgmt,192.168.4.9,10.51.23.13
mgmt,192.168.4.90,10.51.22.43
mgmt,192.168.4.91,10.51.22.47
mgmt,192.168.4.92,10.51.22.51
mgmt,192.168.4.93,10.51.22.55
mgmt,192.168.4.94,10.51.22.59
mgmt,192.168.4.95,10.51.22.63
mgmt,192.168.4.96,10.51.22.67
mgmt,192.168.4.97,10.51.22.71
mgmt,192.168.4.98,10.51.22.75
mgmt,192.168.4.99,10.51.22.79
mgmt,192.168.5.0,10.52.21.22
mgmt,192.168.5.1,10.52.21.23
mgmt,192.168.5.10,10.52.12.14
mgmt,192.168.5.11,10.52.12.15
mgmt,192.168.5.12,10.52.12.16
mgmt,192.168.5.13,10.52.12.10
mgmt,192.168.5.14,10.52.12.11
mgmt,192.168.5.15,10.52.12.12
mgmt,192.168.5.16,10.52.22.13
mgmt,192.168.5.17,10.52.22.14
mgmt,192.168.5.18,10.52.22.15
mgmt,192.168.5.19,10.52.22.16
mgmt,192.168.5.2,10.52.21.24
mgmt,192.168.5.20,10.52.22.10
mgmt,192.168.5.21,10.52.22.11
mgmt,192.168.5.22,10.52.22.12
mgmt,192.168.5.23,10.52.24.38
mgmt,192.168.5.24,10.52.21.38
mgmt,192.168.5.25,10.52.21.32
mgmt,192.168.5.26,10.52.21.39
mgmt,192.168.5.27,10.52.21.33
mgmt,192.168.5.28,10.52.21.40
mgmt,192.168.5.29,10.52.22.27
mgmt,192.168.5.3,10.52.14.29
mgmt,192.168.5.30,10.52.22.34
mgmt,192.168.5.31,10.52.22.28
mgmt,192.168.5.32,10.52.22.35
mgmt,192.168.5.33,10.52.22.29
mgmt,192.168.5.34,10.52.22.36
mgmt,192.168.5.35,10.52.22.30
mgmt,192.168.5.36,10.52.22.37
mgmt,192.168.5.37,10.52.11.17
mgmt,192.168.5.38,10.52.11.18
mgmt,192.168.5.39,10.52.11.19
mgmt,192.168.5.4,10.52.14.28
mgmt,192.168.5.40,10.52.12.17
mgmt,192.168.5.41,10.52.12.18
mgmt,192.168.5.42,10.52.12.19
mgmt,192.168.5.43,10.52.21.17
mgmt,192.168.5.44,10.52.21.18
mgmt,192.168.5.45,10.52.21.19
mgmt,192.168.5.46,10.52.22.17
mgmt,192.168.5.47,10.52.22.18
mgmt,192.168.5.48,10.52.22.19
mgmt,192.168.5.49,10.52.24.47
mgmt,192.168.5.5,10.52.14.24
mgmt,192.168.5.50,10.52.24.43
mgmt,192.168.5.51,10.52.24.44
mgmt,192.168.5.52,10.52.24.10
mgmt,192.168.5.53,10.52.24.11
mgmt,192.168.5.54,10.52.24.39
mgmt,192.168.5.55,10.52.24.40
mgmt,192.168.5.56,10.52.24.33
mgmt,192.168.5.57,10.52.24.35
mgmt,192.168.5.58,10.52.14.27
mgmt,192.168.5.59,10.52.14.23
mgmt,192.168.5.6,10.52.24.29
mgmt,192.168.5.60,10.52.24.27
mgmt,192.168.5.61,10.52.24.23
mgmt,192.168.5.62,10.52.14.34
mgmt,192.168.5.63,10.52.24.34
mgmt,192.168.5.64,10.52.21.25
mgmt,192.168.5.65,10.52.21.26
mgmt,192.168.5.66,10.52.22.22
mgmt,192.168.5.67,10.52.22.23
mgmt,192.168.5.68,10.51.23.23
mgmt,192.168.5.69,10.51.14.10
mgmt,192.168.5.7,10.52.24.28
mgmt,192.168.5.70,10.51.14.11
mgmt,192.168.5.71,10.51.24.10
mgmt,192.168.5.72,10.51.24.11
mgmt,192.168.5.73,10.51.23.14
mgmt,192.168.5.74,10.51.23.15
mgmt,192.168.5.75,10.51.23.25
mgmt,192.168.5.76,10.51.23.26
mgmt,192.168.5.77,10.51.23.16
mgmt,192.168.5.78,10.51.23.17
mgmt,192.168.5.79,10.51.23.18
mgmt,192.168.5.8,10.52.24.24
mgmt,192.168.5.80,10.51.23.24
mgmt,192.168.5.81,10.52.21.29
mgmt,192.168.5.82,10.52.21.36
mgmt,192.168.5.83,10.51.21.22
mgmt,192.168.5.84,10.52.22.26
mgmt,192.168.5.85,10.52.22.33
mgmt,192.168.5.86,10.51.22.22
mgmt,192.168.5.9,10.52.12.13
prod,10.50.0.10,10.50.11.15
prod,10.50.0.100,10.50.11.63
prod,10.50.0.101,10.50.11.68
prod,10.50.0.102,10.50.11.73
prod,10.50.0.103,10.50.11.78
prod,10.50.0.104,10.50.11.83
prod,10.50.0.105,10.50.11.88
prod,10.50.0.106,10.50.11.93
prod,10.50.0.107,10.50.11.98
prod,10.50.0.108,10.50.11.103
prod,10.50.0.109,10.50.12.19
prod,10.50.0.11,10.50.11.17
prod,10.50.0.110,10.50.12.24
prod,10.50.0.111,10.50.12.29
prod,10.50.0.112,10.50.12.34
prod,10.50.0.113,10.50.12.39
prod,10.50.0.114,10.50.12.44
prod,10.50.0.115,10.50.12.49
prod,10.50.0.116,10.50.12.54
prod,10.50.0.117,10.50.12.59
prod,10.50.0.118,10.50.12.64
prod,10.50.0.119,10.50.12.69
prod,10.50.0.12,10.50.11.16
prod,10.50.0.120,10.50.12.74
